DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,3.08401718025745,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,0.90862852724989,10.734056038177,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,2.96617637885265,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,0.849813317000449,10.6883939801239,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,2.85647717874567,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,0.79837010620031,10.5664850290796,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,2.76307247764778,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,0.749193827994743,10.4393938650929,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,2.66850210954286,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,0.709520010047456,10.3347240994443,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,77.2545335368577,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,35.8585401097175,141.632551257201,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,74.3628954441331,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,33.6530621791894,139.889517430987,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,71.5969261907476,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,31.4071410302907,137.994102830783,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,68.9975089539462,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,29.8550157705877,135.736031603385,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,66.4370458171984,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,28.2878731949653,133.537740499078,,,,UN_IGME,,,,,,_T: Total
