ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,FactValueNumeric,Value,Language,DateModified
AFR,Africa,Country,CMR,Cameroon,Year,2022,TRUE,6.59,6.59,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,CAN,Canada,Year,2023,TRUE,112.6,112.57,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,CAF,Central African Republic,Year,2023,TRUE,10.97,10.97,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,TCD,Chad,Year,2023,TRUE,1.67,1.67,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,CHL,Chile,Year,2023,TRUE,54.54,54.54,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,CHN,China,Year,2022,TRUE,36.66,36.66,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,COL,Colombia,Year,2023,TRUE,15.41,15.41,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,COM,Comoros,Year,2022,TRUE,16.44,16.44,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,COG,Congo,Year,2022,TRUE,11.21,11.21,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,COK,Cook Islands,Year,2020,TRUE,76.92,76.92,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,CRI,Costa Rica,Year,2022,TRUE,30.71,30.71,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2023,TRUE,7.93,7.93,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,HRV,Croatia,Year,2022,TRUE,79.99,79.99,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,CUB,Cuba,Year,2020,TRUE,76.03,76.03,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,CYP,Cyprus,Year,2022,TRUE,38.94,38.94,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,CZE,Czechia,Year,2022,TRUE,95.3,95.3,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2017,TRUE,43.82,43.82,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2022,TRUE,11.68,11.68,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,DNK,Denmark,Year,2021,TRUE,121.9,121.86,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2022,TRUE,1.94,1.94,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,DMA,Dominica,Year,2018,TRUE,67.6,67.6,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,DOM,Dominican Republic,Year,2023,TRUE,20.6,20.6,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,ECU,Ecuador,Year,2018,TRUE,25.11,25.11,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2018,TRUE,17.94,17.94,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,SLV,El Salvador,Year,2022,TRUE,21.79,21.79,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2022,TRUE,13.75,13.75,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,ERI,Eritrea,Year,2022,TRUE,15.43,15.43,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,EST,Estonia,Year,2023,TRUE,66.58,66.58,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,SWZ,Eswatini,Year,2023,TRUE,42.6,42.6,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,ETH,Ethiopia,Year,2022,TRUE,12.22,12.22,EN,2025-01-13T17:00:00.000Z
